,state,county,parks,pitches,sports_centres,schools
0,Alabama,Franklin,14,64,0,48
1,Alabama,Bullock,2,6,0,23
2,Alabama,St_Clair,16,116,5,60
3,Alabama,Houston,57,186,4,109
4,Alabama,Dale,9,57,0,30
5,Alabama,Hale,19,36,0,12
6,Alabama,Macon,6,19,1,33
7,Alabama,Marengo,11,30,0,26
8,Alabama,Sumter,20,25,1,19
9,Alabama,Montgomery,83,402,3,204
10,Alabama,Jefferson,234,875,52,442
11,Alabama,Cleburne,5,9,0,13
12,Alabama,Cherokee,7,28,0,28
13,Alabama,Chilton,13,41,0,26
14,Alabama,Geneva,5,28,0,23
15,Alabama,Colbert,27,75,2,73
16,Alabama,Lowndes,3,9,0,44
17,Alabama,Baldwin,86,600,17,167
18,Alabama,Chambers,23,36,2,30
19,Alabama,Barbour,9,21,1,32
20,Alabama,Morgan,58,202,14,81
21,Alabama,Washington,4,15,0,21
22,Alabama,Coosa,3,1,0,15
23,Alabama,Walker,16,45,1,40
24,Alabama,Lawrence,10,32,2,24
25,Alabama,Tuscaloosa,153,340,11,144
26,Alabama,Clarke,14,34,0,31
27,Alabama,Mobile,150,691,17,478
28,Alabama,Covington,27,34,0,46
29,Alabama,Crenshaw,4,19,0,18
30,Alabama,Pike,11,56,1,51
31,Alabama,Russell,16,56,4,55
32,Alabama,Calhoun,29,189,20,105
33,Alabama,Tallapoosa,7,35,1,45
34,Alabama,Madison,166,733,89,217
35,Alabama,Dallas,27,60,1,109
36,Alabama,Blount,32,94,5,42
37,Alabama,Coffee,12,77,4,43
38,Alabama,Bibb,14,30,0,21
39,Alabama,Lee,52,315,10,111
40,Alabama,Choctaw,7,21,0,16
41,Alabama,Jackson,37,72,1,58
42,Alabama,Escambia,8,58,0,24
43,Alabama,Marshall,54,162,3,131
44,Alabama,Lauderdale,35,193,8,111
45,Alabama,Shelby,83,444,14,142
46,Alabama,Talladega,19,97,4,140
47,Alabama,Perry,5,23,1,17
48,Alabama,Henry,8,18,0,17
49,Alabama,Monroe,6,46,0,32
50,Alabama,Autauga,21,51,2,63
51,Alabama,Elmore,26,48,2,56
52,Alabama,Conecuh,0,13,0,13
53,Alabama,Fayette,4,22,0,19
54,Alabama,Marion,7,39,8,30
55,Alabama,Winston,7,25,1,19
56,Alabama,Butler,22,37,2,32
57,Alabama,Randolph,4,24,0,23
58,Alabama,Etowah,25,119,1,114
59,Alabama,Clay,2,6,0,16
60,Alabama,Greene,18,8,1,14
61,Alabama,Limestone,31,162,14,92
62,Alabama,Cullman,22,71,1,43
63,Alabama,DeKalb,21,72,4,28
